0,30
1,245
2,232
3,186
4,201
5,156
6,160
7,81
8,206
9,136
10,140
11,194
12,235
13,238
14,228
15,183
16,131
17,229
18,136
19,105
20,129
21,183
22,180
23,200
24,26
25,111
26,188
27,160
28,121
29,236
30,228
31,166
32,172
33,168
34,96
35,45
36,232
37,200
38,234
39,244
40,148
41,230
42,193
43,43
44,131
45,237
46,223
47,216
48,168
49,94
50,199
51,146
52,242
53,244
54,212
55,183
56,196
57,149
58,176
59,149
60,73
61,199
62,140
63,209
64,212
65,115
66,215
67,130
68,136
69,128
70,129
71,195
72,215
73,208
74,142
75,150
76,79
77,139
78,128
79,196
80,208
81,130
82,189
83,183
84,190
85,116
86,188
87,248
88,222
89,201
90,132
91,161
92,108
93,236
94,157
95,189
96,90
97,138
98,212
99,228
100,191
101,238
102,208
103,227
104,69
105,153
106,205
107,187
108,126
109,117
110,229
111,214
112,219
113,75
114,209
115,191
116,60
117,160
118,219
119,211
120,202
121,0
122,194
123,233
124,206
125,178
126,180
127,213
128,191
129,138
130,180
131,181
132,210
133,63
134,196
135,144
136,108
137,225
138,196
139,215
140,145
141,208
142,87
143,204
144,209
145,192
146,194
147,210
148,112
149,205
150,119
151,144
152,177
153,177
154,149
155,232
156,245
157,87
158,221
159,194
160,209
161,163
162,146
163,159
164,222
165,225
166,167
167,200
168,174
169,234
170,218
171,150
172,170
173,239
174,113
175,157
176,186
177,123
178,149
179,202
180,152
181,185
182,123
183,0
184,168
185,169
186,170
187,220
188,115
189,179
190,73
191,242
192,190
193,145
194,160
195,208
196,161
197,228
198,241
199,181
200,127
201,224
202,226
203,200
204,160
205,204
206,206
207,178
208,212
209,231
210,152
211,209
212,204
213,216
214,188
215,196
216,209
217,102
218,189
219,212
220,208
221,180
222,246
223,194
224,204
225,230
226,167
227,243
228,221
229,218
230,103
231,200
232,131
233,145
234,113
235,104
236,195
237,145
238,142
239,231
240,143
241,153
242,237
243,214
244,172
245,223
246,198
247,95
248,214
249,174
250,176
251,173
252,202
253,96
254,202
255,182
256,223
257,166
258,202
259,238
260,232
261,137
262,199
263,199
264,160
265,196
266,116
267,195
268,167
269,208
270,238
271,86
272,112
273,159
274,92
275,215
276,179
277,178
278,159
279,155
280,106
281,231
282,113
283,161
284,186
285,48
286,124
287,148
288,214
289,183
290,213
291,231
292,232
293,215
294,188
295,237
296,187
297,181
298,205
299,221
300,196
301,145
302,220
303,183
304,216
305,227
306,236
307,157
308,218
309,184
310,222
311,153
312,182
313,125
314,145
315,121
316,200
317,226
318,175
319,112
320,148
321,139
322,214
323,229
324,228
325,177
326,216
327,239
328,233
329,140
330,144
331,193
332,246
333,218
334,232
335,194
336,169
337,214
338,160
339,208
340,244
341,62
342,35
343,160
344,124
345,166
346,172
347,165
348,247
349,78
350,250
351,193
352,134
353,131
354,211
355,202
356,207
357,147
358,209
359,160
360,157
361,158
362,204
363,142
364,142
365,210
366,81
367,201
368,232
369,189
370,224
371,198
372,235
373,166
374,108
375,135
376,170
